"Duration (in seconds)","Finished","RecordedDate","ExternalReference","UserLanguage","Q5","Q6","Q1","Q7","Q8","Q9","Q27","Q10","Q24","Q23","Q24_1","Q19_1","Q19_2","Q19_3","Q19_4","Q19_5","Q19_6","Q19_7","Q19_8","Q21_1","Q21_2","Q21_3","Q21_4","Q21_5","Q21_6","Q21_7","Q21_8","Q22_1","Q22_2","Q22_3","Q22_4","Q29_1","Q29_2","Q29_3","Q29_4","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q31_6","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","source","RandomID","Q40 - Parent Topics","Q40 - Topics"
"85","True","2020-06-01 08:44:47",NA,"EN","Tamil Nadu","tirupur","4","30-39","Male","1","Yes","IT","Yes","1-5","6-10","4","3","4","5","3","5","4","3","3","3","4","5",NA,"4","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"3","2","4","3","3","4","3","4","2","3","4","3",NA,"1903",NA,NA
"111","True","2020-06-01 08:45:05",NA,"EN","Uttar Pradesh","Noida","3","30-39","Male","1","Yes","IT admin","No","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","1","1","2","2","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8947",NA,NA
"69","True","2020-06-01 08:45:06",NA,"EN","Tamil Nadu","MADURAI","3","20-29","Male","0","Yes","SOFTWARE DEVELOPER","No","1-5","1-5","5","7+","5","6","4","5","6","4","4","7+","6","4","2","4","5","7+",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","4","5+","4","3","3","3","5+","1","3","5+",NA,"1295",NA,NA
"63","True","2020-06-01 08:45:07",NA,"EN","Tamil Nadu","chennai","4","30-39","Male","2","Yes","worker","Yes","1-5","6-10","5","4","2","5","3","5","4","5","5","3","4","5","3","4","5","5",NA,NA,NA,NA,NA,NA,NA,NA,"4","1","2","4","3","4","3","2","4","3","2","3",NA,"4901",NA,NA
"66","True","2020-06-01 08:45:20",NA,"EN","Tamil Nadu","chennai","3","30-39","Male","2","Yes","manager","Yes","6-10","6-10","7+","6","5","7+","6","5","5","6","7+","6","5","6","7+","6","5","6","5+","4","3","4","5+","4","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4884",NA,NA
"107","True","2020-06-01 08:45:21",NA,"EN","Tamil Nadu","karur,hindu","2","30-39","Male","1","Yes","software analysis","No","6-10","1-5","6","5","4","3","4","5","4","5","3","4","5","4","3","4","5","4","4","3","1","2","2","3","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7150",NA,NA
"116","True","2020-06-01 08:45:22",NA,"EN","Tamil Nadu","Coimbatore","3","40-49","Male","0","Yes","IT","No","1-5","0","4","3","4","5","2","3","5","3","6","5","4","5","3","4","5","4",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3","4","4","3","3","4","2","4","4","3",NA,"4559",NA,NA
"103","True","2020-06-01 08:45:22",NA,"EN","Tamil Nadu","madurai","4","20-29","Male","2","No","1","Yes","1-5","6-10","2","3","4","3","5","2","3","6","3","4","5","3","5","5","3","6",NA,NA,NA,NA,NA,NA,NA,NA,"2","3","2","3","2","3","4","2","3","1","4","4",NA,"3240",NA,NA
"122","True","2020-06-01 08:45:23",NA,"EN","Tamil Nadu","INDIA","4","20-29","Male","1",NA,"BPO EXECUTIVE","No","6-10","1-5","5","4","5","4","5","4","4","5","5","5","4","5","5","5","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3","3","4","4","4","3","3","3","4","3",NA,"5020",NA,NA
"72","True","2020-06-01 08:45:23",NA,"EN","Tamil Nadu","ERODE","5+","30-39","Male","2","Yes","SELF","No","1-5","1-5","5","6","5","4","3","4","5","4","3","4","6","5","4","3","4","5","4","3","2","2","3","2","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1680",NA,NA
"107","True","2020-06-01 08:45:24",NA,"EN","Tamil Nadu","TAMILNADU","3","30-39","Male","2","Yes","BA","No","1-5","1-5","5","6","6","4","5","4","6","6","5","6","5","5","6","6","5","5","3","4","3","3","3","2","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7013",NA,NA
"125","True","2020-06-01 08:45:30",NA,"EN","Tamil Nadu","COIMBATORE","3","20-29","Female","0","Yes","ENGINEER","No","0","0","0","2","1","3","4","0","0","0","1","2","3","4","2","4","6","4",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","1","0","1","0","2","3","4","3","2","5+",NA,"3374",NA,NA
"114","True","2020-06-01 08:45:34",NA,"EN","Karnataka","Bangalore","4","30-39","Female","0","No",NA,"No","1-5","0","0","1","1","1","1","0","0","1","0","1","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0","0","0","0","0","0","0",NA,"1305",NA,NA
"139","True","2020-06-01 08:45:37",NA,"EN","Tamil Nadu","CHENNAI","3","30-39","Male","3","Yes","IT","Yes","1-5","0","3","5","5","4","5","4","5","4","4","4","5","4","4","5","5","6","4","2","3","4","3","2","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9005",NA,NA
"153","True","2020-06-01 08:45:39",NA,"EN","Tamil Nadu","dindugal","2","20-29","Male","2","Yes","data entry","Yes","1-5","6-10","3","4","5","4","4","3","2","2","2","4","5","4","3","2","1","0","1","2","3","4","4","3","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2115",NA,NA
"162","True","2020-06-01 08:45:42",NA,"EN","Kerala","kannur","4","30-39","Male","1","Yes","educator","Yes","1-5","0","1","5","4","3","2","3","2","3","6","5","5","6","5","6","5","4","3","2","3","4","3","2","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8387",NA,NA
"131","True","2020-06-01 08:45:48",NA,"EN","Tamil Nadu","ERODE","4","20-29","Male","0","Yes","SELF EMPLOYEE","No","1-5","1-5","5","7+","6","6","5","6","7+","6","5","6","5","5","7+","6","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","4","3","5+","4","4","3","4","2","3","2",NA,"9273",NA,NA
"160","True","2020-06-01 08:45:48",NA,"EN","Kerala","TRIVANDRUM","4","20-29","Male","0","Yes","SELF EMPLOYEE","No","1-5","0","7+","6","5","5","5","6","3","6","7+","7+","6","6","6","7+","6","7+","3","1","3","2","3","4","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9271",NA,NA
"101","True","2020-06-01 08:45:53",NA,"EN","Tamil Nadu","karur","5+","30-39","Male","0","Yes","Freelancer","No","1-5","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6547",NA,NA
"166","True","2020-06-01 08:45:55",NA,"EN","Tamil Nadu","MADURAI","4","30-39","Male","1","Yes","IT","Yes","1-5","1-5","0","1","1","0","1","1","0","0","0","0","1","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"2465",NA,NA
"139","True","2020-06-01 08:45:57",NA,"EN","Tamil Nadu","ERODE","4","20-29","Male","0","Yes","MANAGER","No","0","1-5","0","4","3","0","0","0","0","0","0","5","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"3","1","2","2",NA,"0","1","3","2","4","2","1",NA,"1779",NA,NA
"107","True","2020-06-01 08:45:58",NA,"EN","Tamil Nadu","city","4","20-29","Male","2","Yes","data","Yes","6-10","6-10","7+","6","5","4","5","6",NA,"6","7+","5","5","6","5","6","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"5+","4","3","4","5+","4","5+","5+","4","3","4","4",NA,"7097",NA,NA
"149","True","2020-06-01 08:46:04",NA,"EN","Tamil Nadu","tirupur","4","30-39","Male","2","Yes","IT","Yes","1-5","6-10","4","3","2","5","4","6","4","5","4","5","3","4","5","6","4","6","4","3","2","4","4","3","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8125",NA,NA
"139","True","2020-06-01 08:46:13",NA,"EN","Gujurat","vadodara","4","30-39","Male","2","Yes","Self Employed","No","1-5","0","0","3","3","1","3","0","0","1","1","3","1","0","1","0","0","2","0","0","2","3","1","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9200",NA,NA
"142","True","2020-06-01 08:46:14",NA,"EN","Tamil Nadu","chennai","3","30-39","Male","1","Yes","banking","Yes","1-5","0","2","4","4","2","5","1","1","4","1","3","1","2","1","2","2","2","4","3","2","2","2","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9533",NA,NA
"69","True","2020-06-01 08:46:18",NA,"EN","Tamil Nadu","selam","4","20-29","Female","1","Yes","It","Yes","1-5","6-10","5","3","4","5","3","4","3","3","5","3","4","5","5","4","6","5",NA,NA,NA,NA,NA,NA,NA,NA,"3","2","4","3","3","2","3","4","5+","3","3","4",NA,"5680",NA,NA
"117","True","2020-06-01 08:46:24",NA,"EN","Tamil Nadu","madurai","4","20-29","Male","1","Yes","80000","Yes","1-5","1-5","6","7+","6","7+","6","4","5","4","6","5","6","5","6","6","4","6",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","2","0","2","2","1","0","1","0","1","1",NA,"8583",NA,NA
"194","True","2020-06-01 08:46:25",NA,"EN","Tamil Nadu","chennai","4","20-29","Female","2","Yes","data entry operator","No","6-10","6-10","6","6","7+","7+","5","4","5","7+","4","5","6","7+","6","7+","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"5+","5+","4","4","5+","5+","4","5+","5+","5+","3","5+",NA,"9199",NA,NA
"137","True","2020-06-01 08:46:31",NA,"EN","Tamil Nadu","Madurai","3","20-29","Male","0","Yes","Self-employed","No","0","1-5","3","7+","6","0","1","3","2","2","7+","3","2","3","5","5","5","3","3","2","3","2","3","1","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8377",NA,NA
"167","True","2020-06-01 08:46:31",NA,"EN","Tamil Nadu","coimbatore","4","20-29","Male","1","Yes","manager","No","1-5","1-5","6","7+","6","6","5","6","7+","6","6","5","6","7+","6","5","6","6","4","5+","4","4","4","3","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1588",NA,NA
"211","True","2020-06-01 08:46:31",NA,"EN","Jharkhand","Jamshedpur","3","30-39","Male","1","Yes","Sales Manager","No","1-5","0","3","5","3","5","6","1","2","1","1","3","1","4","3","0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"4","2","3","2","1","1","1","0","1","1","0","1",NA,"5009",NA,NA
"117","True","2020-06-01 08:46:32",NA,"EN","Tamil Nadu","Chennai","1","20-29","Female","1","Yes","Manager","Yes","1-5","1-5","5","6","5","4","3","4","5","5","4","5","5","6","6","5","4","4",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3","2","2","2","2","3","3","5+","4","3",NA,"7081",NA,NA
"169","True","2020-06-01 08:46:39",NA,"EN","Tamil Nadu","tirupur","3","30-39","Male","3","Yes","manager","No","16+","16+","4","5","4","6","5","4","5","4","3","5","5","3","6","4","6","4",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","2","4","4","2","3","4","5+","3","4","3",NA,"3043",NA,NA
"131","True","2020-06-01 08:46:41",NA,"EN","Tamil Nadu","madurai","4","20-29","Male","1","Yes","business","Yes","1-5","0","2","5","4","5","4","0","3","2","2","3","4","3","2","3","4","3","3","3","4","3","3","2","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7630",NA,NA
"111","True","2020-06-01 08:46:42",NA,"EN","Tamil Nadu","madurai","2","20-29","Male","1","Yes","finance","No","1-5","1-5","1","4","6","4","2","4","5","6","1","3","5","6","5","3",NA,"2","1","3","4","3","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3690",NA,NA
"165","True","2020-06-01 08:46:43",NA,"EN","Kerala","Malappuram","4","30-39","Male","2","Yes","Manager","No","6-10","6-10","2","3","4","4","5","4","4","5","2","5","5","4","3","3","4","3",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","1","1","3","3","2","3","2","2","2","1",NA,"7689",NA,NA
"184","True","2020-06-01 08:46:43",NA,"EN","Tamil Nadu","hindu","3","30-39","Male","2","Yes","software analysis","No","1-5","6-10","5","4","3","4","5","5","4","3","4","5","4","3","4","5","4","3","4","3","2","3","3","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4269",NA,NA
"186","True","2020-06-01 08:46:46",NA,"EN","Tamil Nadu","karur","4","30-39","Male","3","Yes","worker","No","6-10","6-10","4","5","5","6","5","4","5","6","3","4","6","5","4","5","4","6",NA,NA,NA,NA,NA,NA,NA,NA,"2","3","4","3","2","3","3","4","3","4","4","3",NA,"6411",NA,NA
"197","True","2020-06-01 08:46:48",NA,"EN","Tamil Nadu","chennai","4","20-29","Male","0","Yes","manager","No","1-5","0","1","1","1","0","2","0","0","0","2","1","3","2","3","4","6","3",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0","0","0","3","2","4","1","2","3",NA,"2747",NA,NA
"95","True","2020-06-01 08:46:49",NA,"EN","Tamil Nadu","covai","4","30-39","Male","0","Yes","worker","Yes","1-5","1-5","6","5","4","4","3","5","5","4","4","5","2","3","4","5","5","4",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","2","3","4","4","3","3","2","2","3",NA,NA,"3024",NA,NA
"192","True","2020-06-01 08:46:53",NA,"EN","Tamil Nadu","Erode","5+","20-29","Male","1","Yes","manager","No","1-5","0","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","0","2","1","2","2","3","1","2","0","1",NA,"6886",NA,NA
"209","True","2020-06-01 08:46:56",NA,"EN","Tamil Nadu","COIMBATORE","5+","40-49","Male","1","Yes","MIS EXECUTIVE","Yes","0","0","0","4","0","2","0","0","0","0","5","3","5","2","4","2","4","3","2","3","1","2","3","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8006",NA,NA
"101","True","2020-06-01 08:46:57",NA,"EN","Tamil Nadu","Coimbatore","0","20-29","Male","1","Yes","Working full time","No","0","0","6","6","6","5","5","6","6","4","5","6","6","5","6","7+","6","5","4","4","3","3","3","4","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9719",NA,NA
"57","True","2020-06-01 08:46:57",NA,"EN","Tamil Nadu","chennai","4","30-39","Male","3","Yes","manager","Yes","6-10","6-10","7+","6","5","6","7+","6","6","5","6","7+","5","6","7+","6","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"5+","4","4","5+","5+","4","4","5+","4","3","4","5+",NA,"9539",NA,NA
"200","True","2020-06-01 08:46:57",NA,"EN","Tamil Nadu","Madurai","4","30-39","Male","0","Yes","Project leader in a financial sector company","No","0","1-5","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","0","0","0","2","1","1","0","0","0",NA,"2709",NA,NA
"224","True","2020-06-01 08:46:58",NA,"EN","Uttar Pradesh","Noida","3","30-39","Male","0","Yes","Senior Manager","No","0","0","0","1","0","0","0","0","0","1","0","2","1","1","1","1","2","5","1","0","0","0","2","2","0","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1668",NA,NA
"206","True","2020-06-01 08:46:59",NA,"EN","Tamil Nadu","Theni","4","30-39","Male","0","Yes","System administrator","No","0","0","4","5","5","4","4","5","4","5","4","4","5","5","3","4","5","4","3","3","3","4","4","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6839",NA,NA
"185","True","2020-06-01 08:47:01",NA,"EN","Kerala","Pathanamthitta","3","20-29","Male","0","Yes","Construction.","No","0","0","1","1","1","1","0","0","0","0","1","0","0","1","1","0","1","1","1","1","1","0","1","1","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3878",NA,NA
"184","True","2020-06-01 08:47:01",NA,"EN","Kerala","ernakulam","3","30-39","Male","0","Yes","sales","No","0","0","0","2","1","1","1","0","0","0","0","1","1","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"3","1","4","2","1","2","2","1","2","3",NA,"3240",NA,NA
"91","True","2020-06-01 08:47:02",NA,"EN","Tamil Nadu","madurai","3","20-29","Male","5+","Yes","5","Yes","6-10","6-10","3","4","5","3","3","6","5","3","3","2","5","4","4","6","3","5","3","4","2","4","4","3","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2531",NA,NA
"82","True","2020-06-01 08:47:10",NA,"EN","Tamil Nadu","madurai","4","20-29","Female","1","Yes","manager","Yes","1-5","1-5","6","7+","6","6",NA,"7+","6","6","6","7+","7+","6","5","6","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"5+","4","4","3","3","4","5+","4","3","4","5+","5+",NA,"1988",NA,NA
"109","True","2020-06-01 08:47:11",NA,"EN","Tamil Nadu","madurai","3","20-29","Male","1","Yes","bpo operator","Yes","1-5","6-10","6","7+","7+","6","5","4","5","6","7+","6","5","4","5","6","7+","7+",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","5+","4","5+","4","5+","4","5+","4","5+","5+",NA,"4046",NA,NA
"83","True","2020-06-01 08:47:12",NA,"EN","Tamil Nadu","Erode","3","20-29","Male","0","Yes","IT","No","1-5","0","6","5","4","6","5","5","4","5","5","5","4","6","5","4","5","4",NA,NA,NA,NA,NA,NA,NA,NA,"3","2","3","4","3","2","3","4","3","2","3","4",NA,"9158",NA,NA
